home_team,away_team,home_sp,away_sp,xgb_l1,stacker_l2,team_log_odds,actual_home_win,game_date,game_pk,model_prob,bet_type,home_score_final,away_score_final,actual,close_ml_home,pinnacle_ml_home,retail_implied_home,P_true_home,retail_odds,retail_imp,p_true,P_true,retail_implied_prob,edge,sanity_check_pass,odds_floor_pass,tier,dollar_stake,actionable,market,lam_home,lam_away,total_line,p_over_dc,p_over_xgb,p_over_final,p_cover_dc,p_cover_xgb,p_home_cover_final,actual_total,close_total,pinnacle_total_over_odds,retail_implied_over,P_true_over,home_covers_rl,runline_home_odds,pinnacle_rl_home_odds,retail_implied_rl_home,P_true_rl_home,actual_f5_home,actual_f5_away,actual_f5_win,f5_home_win,skip_sanity,p_stk_nrfi,pois_p_nrfi,actual_f1_home,actual_f1_away,actual_nrfi,f1_nrfi
BAL,SF,CADE POVICH,ADRIAN HOUSER,,,,,2026-04-12,824859,0.5471,OVER,6.0,2.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.0233,True,True,2.0,12.0,True,TOT,4.719,4.865,8.5,0.4823,0.6185,0.5471,0.7275,0.6721,0.6301,8.0,8.0,,,,,,,,,,,,,,,,,,,
PIT,WSH,PAUL SKENES,CADE CAVALLI,,,,,2026-04-13,823400,0.7861,OVER,16.0,5.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.2623,True,True,1.0,50.0,True,TOT,8.092,4.924,8.5,0.5294,0.901,0.7861,0.7375,0.9052,0.821,21.0,,,,,,,,,,,,,,,,,,,,
NYY,LAA,WILL WARREN,YUSEI KIKUCHI,,,,,2026-04-13,823563,0.7196,OVER,11.0,10.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.1958,True,True,1.0,50.0,True,TOT,7.737,4.27,8.5,0.616,0.8455,0.7196,0.8288,0.9277,0.8613,21.0,,,,,,,,,,,,,,,,,,,,
MIN,BOS,BAILEY OBER,GARRETT CROCHET,,,,,2026-04-13,823725,0.6529,OVER,13.0,6.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.1291,True,True,1.0,50.0,True,TOT,5.353,5.699,8.5,0.6081,0.7726,0.6529,0.6644,0.6383,0.596,19.0,,,,,,,,,,,,,,,,,,,,
BAL,AZ,DEAN KREMER,RYNE NELSON,,,,,2026-04-13,824856,0.59,OVER,9.0,7.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.0662,True,True,1.0,50.0,True,TOT,4.744,5.536,8.5,0.6542,0.6979,0.59,0.6894,0.5904,0.5709,16.0,,,,,,,,,,,,,,,,,,,,
STL,CLE,MICHAEL MCGREEVY,JOEY CANTILLO,,,,,2026-04-14,823072,0.528,OVER,6.0,5.0,1,,,,,-110.0,0.475151,0.469684,0.4697,0.4752,0.0528,True,True,1.0,4.0,True,TOT,4.459,4.866,8.5,0.4525,0.5863,0.528,0.6481,0.643,0.5946,11.0,9.0,107,0.475151,0.469684,,,,,,,,,,,,,,,,
PIT,WSH,MITCH KELLER,PJ POULIN,,,,,2026-04-14,823398,0.5894,OVER,4.0,5.0,1,,,,,-110.0,0.49567,0.490834,0.4908,0.4957,0.0937,True,True,1.0,50.0,True,TOT,6.264,3.887,8.5,0.5294,0.6839,0.5894,0.7375,0.8918,0.8094,9.0,9.5,-102,0.49567,0.490834,,,,,,,,,,,,,,,,
NYY,LAA,LUIS GIL,JACK KOCHANOWICZ,,,,,2026-04-15,823561,0.611,OVER,5.0,4.0,1,,,,,-110.0,0.482636,,,0.4826,0.1284,True,True,1.0,50.0,True,TOT,6.428,4.081,8.5,0.616,0.7215,0.611,0.8288,0.8859,0.8187,9.0,10.5,,0.482636,,,,,,,,,,,,,,,,,
MIN,BOS,SIMEON WOODS RICHARDSON,CONNELLY EARLY,,,,,2026-04-15,823722,0.5823,OVER,5.0,9.0,1,,,,,-110.0,0.510834,0.5113,0.5113,0.5108,0.0715,True,True,1.0,50.0,True,TOT,4.581,5.557,8.5,0.6081,0.6824,0.5823,0.6644,0.5685,0.5507,14.0,8.0,-112,0.510834,0.5113,,,,,,,,,,,,,,,,
CWS,TB,SEAN BURKE,COLE SULSER,,,,,2026-04-15,824615,0.5526,OVER,3.0,8.0,1,,,,,-110.0,0.489166,0.480898,0.4809,0.4892,0.0634,True,True,1.0,30.0,True,TOT,3.818,5.833,8.5,0.4817,0.6265,0.5526,0.4946,0.4376,0.4329,11.0,8.0,101,0.489166,0.480898,,,,,,,,,,,,,,,,
